fish_id,genotype,n_cell_track_rows,n_unique_tracks,fish_mean__net_displacement_3d_um,fish_median__net_displacement_3d_um,fish_mean__directionality_ratio,fish_median__directionality_ratio,fish_mean__tortuosity,fish_median__tortuosity,fish_mean__mean_squared_displacement_3d_um2_per_min,fish_median__mean_squared_displacement_3d_um2_per_min,fish_mean__mean_speed_um_per_min,fish_median__mean_speed_um_per_min,fish_mean__median_speed_um_per_min,fish_median__median_speed_um_per_min,fish_mean__mean_sphericity,fish_median__mean_sphericity,fish_mean__mean_elongation,fish_median__mean_elongation,fish_mean__mean_volume_um3,fish_median__mean_volume_um3,fish_mean__mean_surface_area_um2,fish_median__mean_surface_area_um2,fish_mean__median_surface_area_um2,fish_median__median_surface_area_um2,fish_mean__mean_surface_area_to_volume,fish_median__mean_surface_area_to_volume,fish_mean__mean_solidity_3d,fish_median__mean_solidity_3d,fish_mean__mean_extent_3d,fish_median__mean_extent_3d,fish_mean__mean_aspect_ratio_3d,fish_median__mean_aspect_ratio_3d,fish_mean__mean_prolate_ellipticity,fish_median__mean_prolate_ellipticity,fish_mean__mean_oblate_ellipticity,fish_median__mean_oblate_ellipticity,fish_mean__injury_median_net_approach_um,fish_mean__injury_median_min_abs_distance_to_injury_um,fish_mean__injury_mean_fraction_detections_inside,fish_mean__injury_mean_fraction_steps_toward,fish_mean__injury_entries_per_track,fish_mean__injury_exits_per_track
260428_block02,WT,387,387,18.36021308757174,16.10996664166341,0.4503647405171663,0.4362536250517781,2.9245332075701285,2.292244562738732,4.3477547256529405,3.381809343279354,0.5556042634929537,0.5162875341238168,0.4603110169460005,0.4022543288655959,0.7006986636275537,0.698126342573999,0.4791139586444178,0.4710355585115865,337.80288625672864,178.1881289226752,302.8663641569306,203.68896442813565,279.0561037199114,176.17667904597104,1.5718477530937265,1.5343897479680138,0.766505690283137,0.7709308192369322,0.48806117517755,0.4887143534116205,2759273201.2858844,2000975233.6282868,0.4791139585467868,0.4710355584430599,0.5503530056298689,0.5208605749543676,-5.156092644195667,72.33359001295753,0.1112307119305048,0.3528796434840595,0.0285714285714285,0.0761904761904762
260428_block03,WT,409,409,16.722624973951817,14.77582715511182,0.3834715572577333,0.3524606000257637,3.6120439740738535,2.83719655452809,4.764635953559134,3.689528157749283,0.577140866137911,0.5369700693760875,0.4772464619853286,0.4219266619544496,0.7438358315946664,0.7447899146103135,0.4369626264503505,0.4181148895013336,185.51059544848488,99.66979301638926,194.7956982381593,134.03884647945728,181.3874431388757,112.86592617987272,1.6851380962017457,1.6885086583329598,0.7784789850137266,0.7768231514337643,0.5097575382524044,0.5132656739069964,2277656403.165577,1731924868.0166018,0.436962626330332,0.4181148893097486,0.543349422206264,0.5158137228695352,-3.0847586019356896,51.31372589871992,0.0911650320767129,0.3961563153053722,0.0626780626780626,0.0797720797720797
260511_block01,WT,1971,1971,19.492373902870757,16.947231763244655,0.3343173647550386,0.2870192312734722,5.353269772751507,3.484087096056637,10.708810628709612,9.728231108161996,1.1452930556241012,1.1356564319606628,0.977416632350452,0.9388923908675192,0.6832379645595923,0.6921606927311952,0.4843252519984856,0.4658917478391596,280.6562751363646,148.13543361207007,290.3297900064511,190.2432734649022,253.79460661903525,147.70413981892133,1.7034078522225011,1.6836867397390478,0.7119392201198904,0.719442725881509,0.4507983277424877,0.4445989213118842,2895345059.5067697,2019886297.0726712,0.4843252518981901,0.4658917477137317,0.6016968200156267,0.5700957000717157,0.0,35.08361493701398,0.2088525302592989,0.4699478150996993,0.1885196374622356,0.1951661631419939
260511_block02,WT,1560,1560,17.38992361253327,15.0347088811927,0.3387637756702359,0.2932201555705683,5.228705989826686,3.4104081833228084,9.341047811604945,7.897785188681665,1.034923569063387,0.9931683803899348,0.8571673315095653,0.7798537959817922,0.6971503027530805,0.7034427924549366,0.4781003135059007,0.4602944310904106,249.59967377608024,140.2076291955263,264.0446545498168,179.40977961668494,238.22827621965183,142.5377281767482,1.6822253300674797,1.649553994276005,0.7267761841026977,0.7322993046382869,0.4549956817072467,0.449642051183505,2675673431.003629,1749976235.638432,0.478100313402455,0.4602944309984244,0.5703639578334174,0.5341924351864377,-0.5220888579632348,29.76273263835376,0.2019034449940324,0.4503584950467001,0.22,0.2335714285714285
260511_block03,WT,2020,2020,17.446921958783054,15.266089808887514,0.3319396157084018,0.285571621397098,5.359800160627063,3.501748526773292,8.85523385623879,7.2612816732921805,0.9945010816013558,0.9450062524273172,0.8117881711312979,0.7334910628940157,0.7198778589098034,0.7214841525411375,0.4463434005732026,0.4285594034581613,243.0778341993343,114.24113398583154,246.30616857781544,154.72326799358223,219.9010177285622,124.85564616890936,1.705121782602581,1.7024994248047751,0.74836913627654,0.7563116947293148,0.4793024221464634,0.4779722856546359,2395803188.2309666,1751037288.160396,0.4463434004581376,0.4285594034023609,0.5887385307679562,0.5606613805765275,-0.7358916042214645,52.131110722193434,0.1330068086554965,0.4509131423758017,0.1358846367165834,0.1375485302273987
260511_block05,WT,2574,2574,18.161761587533366,15.60493192458855,0.3183531238722337,0.272759563845523,6.240201656507371,3.666237617930416,8.327390087422495,6.8913528738964995,0.9554150600681928,0.9302223072478936,0.7742473692294822,0.7288938842497357,0.7019076263325437,0.7121914486396101,0.4645740988827536,0.456800239523849,301.7182254860564,158.26334168291393,297.56959433648933,194.2595716800236,273.1228322097193,152.46905936004055,1.6169255956408748,1.606631651241143,0.733482629165107,0.7459936652929188,0.4658158825813061,0.4634688020529048,2329059313.445685,1457731640.197764,0.4645740987797367,0.4568002394312602,0.5605809286403869,0.5225272285166072,-0.2227905749558889,44.8267023480661,0.1414758291640761,0.443515783393846,0.1583646616541353,0.168703007518797
260511_block06,WT,2348,2348,26.900940684635113,21.75606698432128,0.5177312050407386,0.5076569051660419,3.299766194567079,1.9698344021240597,14.328436588547572,9.313319243384717,1.1958478743906544,1.075411050937594,0.9885215514724623,0.8160220494656468,0.6984024765337573,0.7050660257556065,0.483200899562345,0.4726021119204533,292.7784592417689,129.10577554588534,295.313957159103,171.63608566172724,272.4600177215952,143.16131235927924,1.661036835381951,1.6490606546796738,0.7197510686876664,0.7333701561328196,0.4523752901857359,0.4444406511112704,2244535278.834314,1421582710.380826,0.4832008994584163,0.4726021117551009,0.5597770856460569,0.5272661837040759,-0.3687658758810244,58.8446140717623,0.1866718038172023,0.4355259797704351,0.1506682867557715,0.1561360874848116
